,Unnamed: 0.1,id,Star_name_x,Distance_x,Unnamed: 0,Star_name_y,Distance_y,Mass,Radius,Gravity
0,0,0,Sun,0.0,0,SDSS J000013.54+255418.6 [de],46.1,9.113642553599999e+28,70777296.90899992,178646634002615.62
1,1,1,Sirius,0008.6,1,2MASS J00040288-6410358,192.0,3.6074835108e+28,116532317.13299993,26085693177303.316
2,2,2,Canopus,0310,2,LHS 102BC,,,,
3,3,3,Rigil Kentaurus& Toliman,0004.34,3,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,242548216215159.66
4,4,4,Arcturus,0037,4,2MASS J00250365+4759191AB,143.0,,,
5,5,5,Vega,0025,5,2MASS J00274197+0503417,236.0,5.8858941492000005e+28,102948795.50399993,54533164399724.19
6,6,6,Capella,0043,6,2MASS J00275592+2219328,46.9,,,
7,7,7,Rigel,0860,7,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71799994,205099970568730.78
8,8,8,Procyon,0011,8,2MASS J00332386-1521309 [de],131.0,5.5061590427999995e+28,102233873.31299993,51730885511852.04
9,9,9,Achernar,0139,9,2MASS J00345157+0523050,31.0,7.974437234399999e+28,67202685.95399994,173387415388997.4
10,10,10,Betelgeuse,640,10,2MASS 0036+1821,28.6,7.974437234399999e+28,67202685.95399994,173387415388997.4
11,11,11,Hadar,0390,11,2MASSW J0045214+163445,57.0,4.3669537235999995e+28,115817394.942,31968465948384.652
12,12,12,Altair,0017,12,WISEP J004701.06+680352.1 [fr],40.0,2.2784106383999997e+28,92939884.82999994,25901119228692.812
13,13,13,Acrux,0320,13,2MASS J00501994-3322402 [de],34.0,7.594702128e+28,67202685.95399994,165130871799045.2
14,14,14,Aldebaran,0065,14,2MASS J00034227-2822410,,,,
15,15,15,Antares,0550,15,2MASS J00584253-0651239 [de],96.0,5.5061590427999995e+28,102233873.31299993,51730885511852.04
16,16,16,Spica,0250,16,CFBDS J005910.90–011401.3,30.0,4.3669537235999995e+28,,
17,17,17,Pollux,0034,17,2MASSI J0103320+193536,70.0,9.873112766399999e+28,70062374.71799994,197503675362481.44
18,18,18,Fomalhaut,0025,18,SDSSp J010752.33+004156.1 [de],51.0,9.873112766399999e+28,70062374.71799994,197503675362481.44
19,19,19,Deneb,"2,600",19,2MASSI J0117474-340325 [de],163.0,3.797351064e+28,115817394.942,27798666042073.617
20,20,20,Mimosa,0280,20,2MASS J01415823-4633574 [de],130.0,3.797351064e+28,115102472.751,28145063524099.38
21,21,21,Regulus,0079,21,SDSS J015141.69+124429.6,70.0,8.9237750004e+28,69347452.52699994,182212589040198.3
22,22,22,Adhara,0430,22,DENIS-P J020529.0−115925A,65.0,,,
23,23,23,Castor,0051,23,DENIS-P J020529.0−115925B,65.0,,,
24,24,24,Shaula,0570,24,DENIS-P J020529.0−115925C,65.0,,,
25,25,25,Gacrux,0089,25,SDSS J020742.48+000056.2 [de],111.0,8.9237750004e+28,69347452.52699994,182212589040198.3
26,26,26,Bellatrix,0250,26,2MASS J02103857-3015313,101.0,2.848013298e+28,109383095.22299999,23373964872747.023
27,27,27,Elnath,0130,27,2MASS J02340093-6442068,155.0,3.797351064e+28,115817394.942,27798666042073.617
28,28,28,Miaplacidus,0110,28,2MASS J02411151-0326587 [de],152.0,5.1264239364e+28,100804028.93099992,49539261539713.54
29,29,29,Alnilam,"2,000",29,2MASS J02431371−2453298,35.0,6.265629255599999e+28,70777296.90899992,122819560876798.23
30,30,30,–,0840,30,LP 771-21,53.0,1.48096691496e+29,77211596.628,243933294519196.0
31,31,31,Alnair,0100,31,2MASS J02511327+0047364,,,,
32,32,32,Alnitak,"01,300",32,2MASS J02535980+3206373,184.0,1.2341390958e+29,135835216.28999993,65679546335916.55
33,33,33,Alioth,0083,33,WISE J0254+0223,24.0,1.2341390958e+29,135835216.28999993,65679546335916.55
34,34,34,Dubhe,0120,34,DEN 0255-4700,16.2,1.5189404256e+29,69347452.52699994,310149087727997.2
35,35,35,Mirfak,0510,35,2MASS J03185403-3421292 [de],45.0,9.3035101068e+28,69347452.52699994,189966316233398.25
36,36,36,Wezen,"1,800",36,2MASS J03205965+1854233,47.0,1.67083446816e+29,82216051.96499993,242723027831833.5
37,37,37,Sargas,0330,37,2MASS J03231002-4631237,192.0,4.3669537235999995e+28,118677083.70599999,30446379022695.86
38,38,38,Kaus Australis,0140,38,SDSS J032553.17+042540.1,59.0,8.544039894e+28,67917608.14499994,181881820622538.3
39,39,39,Avior,0600,39,2MASS J03264225-2102057 [de],80.0,3.4176159576e+28,92939884.82999994,38851678843039.23
